path,size_bytes,modified,type
start_real_trading.sh,1135,2026-01-03T04:38:03.494526,.sh
SETUP_CHECKLIST.md,6355,2026-01-03T04:30:39.176442,.md
PROJECT_ANALYSIS_30DAYS.md,7997,2025-12-31T13:49:02.234285,.md
ЗАПУСК_САЙТА.md,2521,2026-01-03T04:40:33.131583,.md
БЫСТРЫЙ_СТАРТ_РЕАЛЬНОЙ_ТОРГОВЛИ.md,4518,2026-01-03T04:30:39.176524,.md
РЕАЛЬНАЯ_ТОРГОВЛЯ_АКТИВНА.md,1723,2026-01-03T04:30:39.176672,.md
start_trading.sh,678,2026-01-02T15:40:54.823542,.sh
DOCKER_GUIDE.md,6154,2026-01-02T10:55:12.339343,.md
QUICK_START_IMPROVEMENTS.md,4368,2026-01-02T10:55:12.338928,.md
get_backtest_stats.sh,2651,2026-01-01T20:03:36.274327,.sh
docker-build-and-run.sh,623,2025-12-30T11:01:30.905485,.sh
.DS_Store,14340,2026-01-03T03:35:28.857756,no_ext
PRODUCTION_COMPLETE_SUMMARY.md,5077,2026-01-03T03:20:42.300754,.md
ДОБАВЛЕНИЕ_МОНЕТ.md,3244,2026-01-03T04:30:39.176717,.md
DEBUG_ORDER_FILL_DETECTION.md,10347,2025-12-30T09:44:53.955551,.md
FORCE_SIGNAL_CALCULATION.md,3439,2025-12-30T09:44:53.952335,.md
BYBIT_INTEGRATION_COMPLETE.md,9229,2026-01-02T10:55:12.339300,.md
WEB_DOCKER_SETUP.md,3185,2026-01-03T04:40:33.106776,.md
AUTO_IMPROVEMENT_SYSTEM.md,9956,2026-01-02T10:55:12.338903,.md
IMPLEMENTATION_SUMMARY.md,9560,2026-01-02T14:28:07.599740,.md
DEBUG_ORDER_FILL_PROMPT.md,9361,2025-12-20T12:42:23.745973,.md
SMART_AGGRESSIVE_SYSTEM.md,12849,2025-12-30T09:44:53.940949,.md
Dockerfile,715,2026-01-02T10:55:12.339311,no_ext
BACKTEST_PROGRESS.md,2448,2025-12-31T13:49:02.250942,.md
Makefile,1847,2026-01-03T03:49:57.066206,no_ext
ТОРГОВЛЯ_ЗАПУЩЕНА.md,1119,2026-01-03T04:30:39.176695,.md
test_bybit_connection.py,2942,2026-01-02T10:55:12.339273,.py
BACKTEST_30DAYS_STATUS.md,3884,2025-12-31T13:49:02.259245,.md
show_results.sh,2518,2026-01-01T20:03:36.274373,.sh
docker-compose.monitoring.yml,2308,2026-01-03T03:20:42.300762,.yml
backtest_30days_output.log,113067709,2026-01-01T20:11:02.051723,.log
pyproject.toml,2300,2026-01-03T03:49:57.125140,.toml
.env.bak,10997,2026-01-02T14:48:38.333913,.bak
IMPROVEMENTS_COMPLETED.md,7345,2025-12-31T13:48:45.119986,.md
ИСПРАВЛЕНИЕ_ОРДЕРОВ.md,2190,2026-01-03T04:30:39.198938,.md
test_500_orders_backtest.py,9929,2026-01-03T04:36:25.413466,.py
ГОТОВНОСТЬ_К_ЗАПУСКУ.md,3236,2026-01-03T04:30:39.176466,.md
HEAN-project.zip,464667,2026-01-03T03:33:18.111005,.zip
IMPROVEMENTS_SUMMARY.md,8348,2026-01-02T10:55:12.338870,.md
BYBIT_TESTNET_RESULTS.md,4284,2025-12-31T13:48:45.120031,.md
check_balance.py,4288,2026-01-03T04:38:02.828998,.py
ГОТОВО.md,1736,2026-01-03T04:30:39.176495,.md
README.md,20297,2026-01-03T04:24:37.377960,.md
PRODUCTION_COMPLETE_PR.md,9038,2026-01-03T03:20:42.300744,.md
create_forensic_export.py,23292,2026-01-03T04:43:25.017934,.py
IMPROVEMENTS_ANALYSIS.md,13059,2025-12-31T13:48:45.072277,.md
get_order_results.py,8279,2026-01-02T14:28:07.607948,.py
PRODUCTION_READY_SUMMARY.md,9243,2026-01-03T03:49:57.078273,.md
.dockerignore,555,2026-01-02T10:55:12.339380,no_ext
backtest_30days.log,91010385,2025-12-30T11:50:05.565162,.log
extract_final_results.py,4228,2026-01-01T20:03:36.290611,.py
.gitignore,546,2026-01-02T11:32:04.192432,no_ext
AGENT_GENERATION.md,10255,2025-12-31T14:56:14.063314,.md
.env,11011,2026-01-02T15:47:57.275011,no_ext
docker-compose.override.yml.example,865,2026-01-02T10:55:12.339498,.example
OPTIMIZATION_REPORT.md,6466,2026-01-02T10:55:12.339382,.md
get_bybit_results.py,10133,2025-12-31T13:49:02.249640,.py
РЕАЛЬНАЯ_ТОРГОВЛЯ.md,8138,2026-01-03T04:30:39.176529,.md
BACKTEST_30DAYS_RESULTS.md,2423,2026-01-01T20:03:36.290656,.md
ЧТО_НУЖНО_ДЛЯ_ЗАПУСКА.md,3458,2026-01-03T04:30:39.176477,.md
get_trading_summary.py,3594,2026-01-02T10:55:12.339433,.py
DIAGNOSTIC_REPORT.md,7607,2026-01-03T03:59:54.082189,.md
wait_and_show_results.sh,1421,2026-01-01T20:03:36.274383,.sh
BYBIT_CONNECTION_FIXED.md,3139,2025-12-31T13:49:02.255370,.md
docker-compose.yml,2506,2026-01-03T03:49:57.066725,.yml
BYBIT_API_SETUP.md,6982,2025-12-30T11:31:10.646376,.md
generate_agent.py,11499,2026-01-02T10:55:12.304950,.py
QUICK_START_DOCKER.md,1257,2026-01-02T10:55:12.339523,.md
backtest_1day_quick.log,112983922,2025-12-31T13:23:34.640555,.log
.env.example,287,2025-12-31T14:07:43.519479,.example
BYBIT_SETUP_GUIDE.md,5580,2026-01-02T10:55:12.339236,.md
СТАТУС_СИСТЕМЫ.md,2963,2026-01-03T04:30:39.176488,.md
extract_backtest_results.sh,1663,2026-01-01T20:03:36.304626,.sh
BYBIT_KEYS_UPDATED.md,2500,2025-12-31T13:49:02.235667,.md
get_local_trading_results.py,4795,2025-12-31T13:48:45.072315,.py
get_today_profit.py,9926,2026-01-02T14:28:07.611334,.py
check_trading_status.py,3497,2026-01-03T04:38:02.829008,.py
ФИНАЛЬНАЯ_ПРОВЕРКА.md,5245,2026-01-03T04:30:39.176480,.md
COMMAND_CENTER_IMPLEMENTATION.md,10977,2026-01-03T04:24:37.378005,.md
PERFORMANCE_IMPROVEMENTS.md,7530,2025-12-31T13:48:45.105248,.md
STARVATION_FIX_SUMMARY.md,5009,2025-12-18T18:52:36.545734,.md
test_500_orders.py,11027,2026-01-03T04:35:18.656791,.py
PAPER_TRADE_ASSIST_IMPLEMENTATION.md,8773,2026-01-03T04:06:48.557341,.md
BACKTEST_FIXES.md,6340,2025-12-30T09:44:53.887403,.md
check_backtest_results.sh,2101,2025-12-31T09:26:13.485277,.sh
AGENT_GENERATION_QUICKSTART.md,3199,2026-01-02T10:55:12.333178,.md
.pytest_cache/.DS_Store,6148,2025-12-18T18:52:24.881456,no_ext
.pytest_cache/CACHEDIR.TAG,191,2025-12-14T01:44:36.769335,.TAG
.pytest_cache/README.md,302,2025-12-14T01:44:36.768679,.md
.pytest_cache/.gitignore,37,2025-12-14T01:44:36.769182,no_ext
.pytest_cache/v/cache/nodeids,19432,2026-01-03T03:54:15.079736,no_ext
.pytest_cache/v/cache/lastfailed,3617,2026-01-03T03:54:15.085448,no_ext
web/index.html,18930,2026-01-03T04:40:33.131615,.html
web/styles.css,15981,2026-01-03T04:40:33.084527,.css
web/Dockerfile,289,2026-01-03T04:40:33.084911,no_ext
web/command-center.html,16557,2026-01-03T04:31:52.381105,.html
web/command-center.js,31926,2026-01-03T04:31:52.368988,.js
web/dashboard.css,6081,2026-01-03T03:49:57.057397,.css
web/dashboard.html,8053,2026-01-03T04:31:52.383358,.html
web/README.md,4642,2026-01-03T04:40:33.093682,.md
web/script.js,6299,2026-01-03T04:40:33.131598,.js
web/.dockerignore,16,2026-01-03T04:40:33.084937,no_ext
web/api-client.js,6442,2026-01-03T04:31:52.367712,.js
web/docker-compose.yml,469,2026-01-03T04:40:33.085164,.yml
web/nginx.conf,2408,2026-01-03T04:33:54.313073,.conf
web/dashboard.js,13900,2026-01-03T04:31:52.383363,.js
web/start.sh,542,2026-01-03T04:40:33.085174,.sh
web/QUICK_START.md,1410,2026-01-03T04:40:33.131529,.md
web/command-center.css,9459,2026-01-03T04:31:52.369746,.css
.ruff_cache/CACHEDIR.TAG,43,2025-12-31T14:56:19.460155,.TAG
.ruff_cache/.gitignore,35,2025-12-31T14:56:19.460369,no_ext
.ruff_cache/0.14.10/6020985547097267256,79,2026-01-03T03:54:16.189266,no_ext
.ruff_cache/0.14.10/7804302188433477233,5311,2026-01-03T03:54:16.189282,no_ext
.ruff_cache/0.14.9/8285293497762877004,79,2025-12-31T15:02:34.497259,no_ext
.ruff_cache/0.14.9/15415008396721244174,3416,2025-12-31T15:02:34.497259,no_ext
tests/test_execution_volatility_gating.py,7473,2025-12-30T09:44:53.941035,.py
tests/test_contracts.py,6670,2025-12-30T09:44:53.918405,.py
tests/test_edge_confirmation.py,14169,2025-12-30T09:44:53.940935,.py
tests/test_strategy_accounting.py,4155,2025-12-30T11:43:11.404819,.py
tests/test_streams_smoke.py,5085,2025-12-30T09:44:53.918370,.py
tests/test_no_trade_fix.py,5018,2025-12-30T09:44:53.952355,.py
tests/test_selector_anti_overfitting.py,8600,2026-01-03T03:20:42.300737,.py
tests/test_trade_diagnostics.py,2290,2026-01-03T04:38:01.343711,.py
tests/test_adaptive_maker_router.py,6243,2025-12-30T09:44:53.951494,.py
tests/.DS_Store,6148,2025-12-18T18:52:24.884821,no_ext
tests/test_process_factory_scorer.py,2895,2026-01-02T11:30:28.758845,.py
tests/test_process_factory_selector.py,3045,2026-01-02T11:30:28.758941,.py
tests/test_maker_execution.py,7441,2025-12-30T11:43:11.394351,.py
tests/test_edge_estimator.py,9527,2025-12-30T11:43:11.415012,.py
tests/test_no_trade_report_counters.py,5957,2025-12-18T18:52:36.545644,.py
tests/test_paper_trade_assist.py,4031,2026-01-03T04:06:48.557384,.py
tests/test_truth_layer_invariants.py,6929,2026-01-03T03:20:42.274965,.py
tests/test_impulse_filters.py,18490,2025-12-30T09:44:53.883792,.py
tests/test_adaptive_allocator.py,9066,2025-12-30T11:43:11.426229,.py
tests/test_impulse_improvements.py,7778,2025-12-14T02:47:53.979775,.py
tests/__init__.py,29,2025-12-14T01:33:48.068118,.py
tests/test_api_e2e.py,1310,2026-01-03T03:49:57.077863,.py
tests/test_no_trade_report.py,1827,2025-12-30T09:44:53.918267,.py
tests/test_execution_diagnostics.py,8301,2025-12-30T09:44:53.952373,.py
tests/test_decision_memory.py,3599,2025-12-30T09:44:53.918396,.py
tests/test_capital_pressure.py,4666,2025-12-30T09:44:53.918229,.py
tests/test_strategy_memory.py,11746,2025-12-30T09:44:53.887359,.py
